Column2,Unnamed: 0,Column1,archivo_pdf,ruta_pdf,tipo,unidad,ministerio,nivel,viceministerio_reporta,funciones,clasificacion_justificacion,estado,error,unit_id,unidad_norm,matriz_label
0,0.0,0.0,10003_comision_de_promocion_del_peru_para_la_exportacion_y_el_turismo_promperu_rof.pdf,rofs_peru/pdfs/10003_comision_de_promocion_del_peru_para_la_exportacion_y_el_turismo_promperu_rof.pdf,descentralizada,Comisión de Promoción del Perú para la Exportación y el Turismo - PROMPERÚ,,,,"PROMPERÚ tiene las siguientes funciones generales: a) Formular, aprobar, ejecutar y evaluar los planes estratégicos y operativos Institucionales de promoción de las exportaciones, el turismo y la imagen país, en concordancia con las políticas nacionales y sectoriales de comercio exterior y turismo. b) Desarrollar, difundir, posicionar, administrar y supervisar el uso de la Marca País Perú a nivel nacional e internacional. c) Desarrollar, gestionar y supervisar la ejecución de las actividades de promoción, inteligencia comercial e investigación de mercados, gestión de información, orientación, asistencia y capacitación empresarial, en materia de exportaciones, turismo e imagen país, a nivel nacional e internacional. d) Desarrollar y gestionar la red de contactos en el exterior e identificar oportunidades comerciales en materia de turismo, exportaciones e inversión privada buscando generar oportunidades de negocio para las empresas peruanas. e) Apoyar las actividades de las entidades del sector público y privado que tengan la potencialidad de reportar un retorno promocional de las exportaciones, el turismo y la imagen país, conforme a los planes, estrategias y lineamientos aprobados por la entidad. f) Coordinar con las distintas entidades del sector público y privado, las acciones necesarias para la consecución de sus objetivos estratégicos en materia de exportaciones, turismo e imagen país, en concordancia con la política del sector comercio exterior y turismo, y en armonía con la política general del Estado, que incluye la política exterior de competencia del Ministerio de Relaciones Exteriores, de acuerdo con el marco legal vigente. g) Coadyuvar al fomento y fortalecimiento de capacidades en las materias de su competencia. h) Proponer al titular del sector la designación de los Consejeros y Agregados Económicos Comerciales, previo concurso público de méritos. i) Coordinar con el MINCETUR la formulación, modificación e implementación del Plan Estratégico Nacional de Exportaciones -PENX y el Plan Estratégico Nacional de Turismo-PENTUR, o los que hagan sus veces, en el ámbito de su competencia. j) Gestionar recursos de cooperación no reembolsable nacional e internacional para la promoción de las exportaciones y el turismo, conforme a la normativa vigente y a través de las autoridades competentes. k) Coordinar procesos que conlleven a articular la oferta exportable de productos y servicios de acuerdo a las tendencias del mercado externo. Estas coordinaciones se desarrollan con los ministerios pertinentes y el sector privado. l) Otras funciones que le sean asignadas por la normativa vigente.",,,,5de09e58e4d33d8af17301cf,comision de promocion del peru para la exportacion y el turismo promperu,Comisión de Promoción del Perú para la Exportación y el Turismo - PROMPERÚ
1,100.0,100.0,10004_agencia_peruana_de_cooperacion_internacional_apci_rof.pdf,rofs_peru/pdfs/10004_agencia_peruana_de_cooperacion_internacional_apci_rof.pdf,descentralizada,Agencia Peruana de Cooperación Internacional - APCI,,,,"4.5. La Agencia Peruana de Cooperación Internacional – APCI, tiene las siguientes funciones:
a) Proponer la Política de Cooperación Técnica Internacional a ser aprobada mediante Decreto Supremo, en concordancia con la política nacional de desarrollo definida por el Poder Ejecutivo;
b) Elaborar y aprobar el Plan Anual de Cooperación Internacional que integre el Plan de Demanda y Oferta de Recursos de Cooperación;
c) Canalizar los pedidos de cooperación de las entidades del Gobierno Nacional y de los organismos constitucionalmente autónomas, a su solicitud;
d) Coordinar con el Sistema Nacional de Programación Multianual y Gestión de Inversiones, la viabilidad de los proyectos, que requieran de cooperación internacional, cuando éstos estuviesen en su ámbito;
e) Diseñar y mantener los sistemas de información en Cooperación Técnica Internacional que garanticen la más amplia difusión de la oferta, modalidades, fuentes, requisitos y demás condiciones para la obtención de cooperación internacional, así como la demanda de cooperación solicitada por otros países;
f) Velar por el cumplimiento de las disposiciones legales y convencionales que regulan la cooperación técnica internacional y la correcta utilización de los recursos que reciben; para tal efecto puede dictar las medidas preventivas o correctivas que considere necesarias;
g) Apoyar a su solicitud, a las entidades del Gobierno Nacional, Poder Legislativo, Poder Judicial, organismos constitucionalmente autónomos, Gobiernos Regionales y a los Gobiernos Locales en la preparación de los planes, programas y proyectos de Cooperación Técnica Internacional y en la ejecución de los mismos;
h) Participar en el seguimiento, administración y evaluación de la utilización de los fondos de contravalor generados por la Cooperación Técnica Internacional;
i) Realizar programas de capacitación en materia de cooperación internacional a los funcionarios del Sector Público, organismos no gubernamentales e instituciones y personas interesadas en temas de gestión de la cooperación para el desarrollo;
j) Participar en las Comisiones Mixtas relacionadas a la Cooperación Técnica Internacional;
k) Coordinar con los titulares de los Pliegos Presupuestarios la previsión de los recursos de contrapartida nacional para los proyectos financiados con Cooperación Técnica Internacional que lo requiera;
l) Ejercer la representación del Estado en las negociaciones de solicitudes de cooperación técnica internacional del Gobierno Nacional y suscribir los convenios de cooperación internacional bajo su ámbito;
m) Conducir, publicar y actualizar el Registro de Organizaciones No Gubernamentales de Desarrollo (ONGD), el Registro Nacional de Entidades e Instituciones Extranjeras de Cooperación Técnica Internacional (ENIEX), el Registro de Instituciones Privadas sin fines de Lucro Receptoras de Donaciones de Carácter Asistencial o Educacional provenientes del Exterior (IPREDA), fuentes cooperantes, donantes de cooperación internacional, entre otros; así como, registrar a las organizaciones sociales de base para su incorporación como IPREDA y el acceso a los beneficios y exoneraciones tributarias correspondientes;
n) Impulsar procesos de coordinación entre la cooperación privada y la pública;
o) Otorgar, cuando se solicite, la conformidad del Estado, según el caso, a los requerimientos de cooperación internacional que presenten las organizaciones no gubernamentales y los organismos de la sociedad civil ante instancias internacionales;
p) Establecer, fortalecer y ampliar los nexos con entidades e instituciones extranjeras de cooperación internacional tanto en el país como, a través de las misiones del Perú, en el exterior;
q) Promover, a través de acuerdos internacionales, la cooperación técnica internacional destinada a fortalecer la capacidad científica, tecnológica y productiva nacional;
r) Aplicar, previo procedimiento, las sanciones por la comisión de infracciones administrativas en el ámbito de las competencias establecidas en la Ley Nº 27692 y la normativa aplicable a la Cooperación Técnica Internacional;
s) Desarrollar y regular el sistema de certificaciones de calidad de las ONGD, nacionales y extranjeras;
t) Ejercer la facultad coactiva para la cobranza de sus acreencias derivadas de sanciones administrativas, previo procedimiento;
u) Dar conformidad previa a la ejecución de los planes, programas, proyectos o actividades registradas por los organismos que ejecutan la cooperación técnica internacional; así como, a los contratos, actos jurídicos o administrativos que celebran con el Estado; y,
v) Otras que se le encomienden y las que se deriven de su naturaleza.",,,,2fc408aa4512bac8dc36f095,agencia peruana de cooperacion internacional apci,Agencia Peruana de Cooperación Internacional - APCI
2,200.0,200.0,10006_instituto_nacional_de_defensa_de_la_competencia_y_de_la_proteccion_de_la_propiedad_intelectual_indecopi_rof.pdf,rofs_peru/pdfs/10006_instituto_nacional_de_defensa_de_la_competencia_y_de_la_proteccion_de_la_propiedad_intelectual_indecopi_rof.pdf,descentralizada,Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual (INDECOPI),,,,"Según lo dispuesto por el artículo 1 del Decreto Legislativo N° 1033, Decreto Legislativo que aprueba la Ley de Organización y Funciones del Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual - INDECOPI, el INDECOPI es un organismo público especializado con personería jurídica de derecho público interno, que goza de autonomía funcional, técnica, económica, presupuestal y administrativa.",,,,cbf76693d727206eb7742df6,instituto nacional de defensa de la competencia y de la proteccion de la propiedad intelectual indecopi,Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual (INDECOPI)
3,300.0,300.0,10009_organismo_de_formalizacion_de_la_propiedad_informal_cofopri_rof.pdf,rofs_peru/pdfs/10009_organismo_de_formalizacion_de_la_propiedad_informal_cofopri_rof.pdf,descentralizada,Organismo de Formalización de la Propiedad Informal - COFOPRI,,,,"Diseñar, normar, ejecutar y controlar el proceso de formalización de la propiedad predial y su mantenimiento en la formalidad. Esta función comprende el saneamiento físico-legal y la titulación, la formulación del catastro predial urbano y rural, y la transferencia de conocimientos y capacidades a los gobiernos regionales y locales.",,,,85e772c4ec31884a11088b06,organismo de formalizacion de la propiedad informal cofopri,Organismo de Formalización de la Propiedad Informal - COFOPRI
4,400.0,400.0,10010_instituto_nacional_de_radio_y_television_del_peru_irtp_rof.pdf,rofs_peru/pdfs/10010_instituto_nacional_de_radio_y_television_del_peru_irtp_rof.pdf,descentralizada,Instituto Nacional de Radio y Televisión del Perú - IRTP,,,,"Desarrollar actividades de comunicación a través de los medios públicos del Estado para difundir cultura, valores, sano entretenimiento e información veraz, plural, responsable y objetiva, promoviendo la identidad nacional y la imagen internacional del Perú.",,,,f963e5e45f025b2b2944d9d4,instituto nacional de radio y television del peru irtp,Instituto Nacional de Radio y Televisión del Perú - IRTP
5,500.0,500.0,10015_instituto_de_investigaciones_de_la_amazonia_peruana_iiap_rof.pdf,rofs_peru/pdfs/10015_instituto_de_investigaciones_de_la_amazonia_peruana_iiap_rof.pdf,descentralizada,Instituto de Investigaciones de la Amazonía Peruana - IIAP,,,,"El Instituto de Investigaciones de la Amazonía Peruana - IIAP es un organismo público ejecutor con personería jurídica de derecho público interno y autonomía económica y administrativa, cuya finalidad es realizar el inventario, la investigación, la evaluación y el control de los recursos naturales, promoviendo su racional aprovechamiento e industrialización para el desarrollo económico y social de la región.",,,,2150466da3952e203c7f4d9b,instituto de investigaciones de la amazonia peruana iiap,Instituto de Investigaciones de la Amazonía Peruana - IIAP
6,600.0,600.0,10018_banco_de_materiales_sac_banmat_sac_rof.pdf,rofs_peru/pdfs/10018_banco_de_materiales_sac_banmat_sac_rof.pdf,empresa_publica,Banco de Materiales S.A.C.,,,,"Artículo 5º.- El BANMAT tiene como finalidad colaborar con el desarrollo integral de la comunidad urbana y rural, realizando actividades de promoción, ejecución y/o aprovisionamiento de recursos, bienes y servicios, para la edificación y mejoramiento de la vivienda básica mínima, de las habilitaciones urbanas, de la infraestructura urbana y rural, de la infraestructura productiva y de servicios.

Artículo 6º.- El BANMAT tiene los siguientes objetivos:
 a) Apoyar a la población en la edificación y mejoramiento de su vivienda básica mínima, priorizando la atención de la población con menores recursos económicos.
 b) Apoyar a la población en el mejoramiento de habilitaciones urbanas, infraestructura urbana y rural e infraestructura de servicios.
 c) Proveer y/o facilitar a los prestatarios el aprovisionamiento de insumos, materias primas, materiales, maquinarias, equipos y demás componentes, impulsando el uso de recursos de la región.
 d) Ofrecer y/o facilitar el adiestramiento, asistencia técnica, apoyo y servicios tecnológicos, complementarios a los programas de Vivienda.
 e) Desarrollar Programas y Proyectos, promoviendo la edificación y mejoramiento de la vivienda básica mínima, priorizando la atención de la población con menores recursos económicos.
 f) Realizar procesos operativos y administrativos eficientes y eficaces, con vocación de servicio al usuario y compromiso con el desarrollo del país.
 g) Desarrollar programas de crédito para la construcción masiva de viviendas en el marco del “PLAN NACIONAL DE VIVIENDA”.
 h) Facilitar los medios que permitan el acceso a una vivienda digna de la población de menores recursos, fortaleciendo y promoviendo la demanda.
 i) Apoyar y promover el desarrollo de soluciones habitacionales con uso de sistemas constructivos no convencionales que ofrezcan una vivienda digna a los menores costos, acordes con la capacidad adquisitiva de la población.
 j) Reforzar la participación profesional y de las empresas del ramo en los procesos de ejecución de los créditos para garantizar un producto de calidad en favor de la población.
 k) Promover el cumplimiento de las normas legales vigentes, durante la ejecución de los créditos, coordinando activamente con los Municipios para el crecimiento ordenado y equilibrado en las ciudades.
 l) Promover la participación activa de las Municipalidades y Organizaciones Comunitarias ubicadas en zonas de extrema pobreza para viabilizar obras de infraestructura básica que mejoren su entorno habitacional y condiciones de vida, a través de los programas que tenga a su cargo el Banco de Materiales SAC.
 m) Desarrollar otras operaciones establecidas en su Estatuto.",,,,e3232ffb931d158560996c20,banco de materiales s a c,Banco de Materiales S.A.C.
7,800.0,800.0,10024_organismo_supervisor_de_la_inversion_en_infraestructura_de_transporte_de_uso_publico_ositran_rof.pdf,rofs_peru/pdfs/10024_organismo_supervisor_de_la_inversion_en_infraestructura_de_transporte_de_uso_publico_ositran_rof.pdf,descentralizada,OSITRAN,,,,"Supervisar, regular, normar, fiscalizar, sancionar, solucionar controversias y atender reclamos respecto de la explotación de infraestructura de transporte de uso público de su competencia, verificando el cumplimiento contractual, legal y normativo, así como los derechos de usuarios y ciudadanía.",,,,c00c9f37e0d44cea5bf590bf,ositran,OSITRAN
8,1000.0,1000.0,10029_fondo_mivivienda_s_a_fmv_s_a_rof.pdf,rofs_peru/pdfs/10029_fondo_mivivienda_s_a_fmv_s_a_rof.pdf,descentralizada,Fondo MIVIVIENDA S.A. (FMV),,,,"a) Promover el acceso de la población a la vivienda implementando los productos y servicios necesarios para generar oferta y demanda inmobiliaria con fines de vivienda.
b) Otorgar financiamiento a las entidades que integran el Sistema Financiero, con el objeto de incentivar el desarrollo de proyectos habitacionales promovidos y ejecutados por el sector privado, así como el acceso de las personas al crédito hipotecario.
c) Implementar productos y servicios que fomenten el ahorro de la población y/o la inversión del sector privado con fines de vivienda.
d) Garantizar créditos otorgados o gestionados por las entidades que integran el sistema financiero, así como emisiones de valores de sociedades titulizadoras o cualquier otro agente especializado en el marco del financiamiento para vivienda, no correspondiendo estas actividades a aquellas propias de las empresas de seguros.
e) Implementar productos y servicios que tengan por objeto incentivar el pago oportuno de los créditos que se otorguen para el financiamiento de la vivienda.
f) Participar como fideicomitente, fiduciario y/o fideicomisario en los fideicomisos regulados por la Ley n.° 26702 - Ley General del Sistema Financiero y del Sistema de Seguros y Orgánica, de la Superintendencia de Banca, Seguros y Aseguradoras Privadas de Fondos de Pensión - SBS, en el marco de financiamiento para vivienda.
g) Participar como mejorador, fideicomitente, fideicomisario y/o fiduciario en los procesos de titulización regulados en el texto único ordenado de la Ley del Mercado de Valores, aprobado por Decreto Supremo n.° 093 -2012 -EF, y sus modificatorias, en el marco del financiamiento para vivienda.
h) Emitir obligaciones u otros instrumentos financieros.
i) Desarrollar actividades y participar en estructuras financieras en calidad de estructurador, colocador, accionista, asesor y otras vinculadas a estructuras financieras que se realicen tanto en el ámbito nacional como en el extranjero, en el marco del financiamiento a la vivienda.
j) Acopiar, analizar y difundir información relacionada a los mercados de vivienda e hipotecario, así como desarrollar estudios de investigación y de evaluación de impacto sobre los programas administrados y los productos y servicios ofrecidos o diseñados por el FMV.
k) Organizar y realizar concursos y subastas de inmuebles de propiedad del FMV o de propiedad de personas naturales o jurídicas, privadas o públicas, para el desarrollo de proyectos inmobiliarios, así como ejecutar todas las actividades que sean necesarias para el desarrollo y culminación de dichos concursos y subastas.
l) Invertir en instrumentos representativos de derechos sobre obligaciones o títulos de deuda, de emisores nacionales y/o extranjeros.
m) Adquirir, conservar y vender, en condición de partícipes, certificados de participación en fondos mutuos y fondos de inversión orientados al mercado de renta fija y/o de vivienda.
n) Comprar, conservar y vender títulos representativos de deuda pública, interna y externa, nacional o extranjera, así como obligaciones del Banco Central de Reserva del Perú.
o) Comprar, conservar y vender bonos y otros títulos emitidos por organismos multilaterales de créditos de los que el Perú sea miembro.
p) Recomprar bonos emitidos por el FMV.
q) Comprar, conservar y vender títulos de la deuda de los gobiernos conforme a las normas que emita la SBS.
r) Invertir en participaciones de Exchange-Traded Funds (ETF), índices orientados a los mercados de renta fija y/o de vivienda.
s) Obligarse con instituciones financieras nacionales y/o internacionales, locales y/o extranjeras, en créditos directos, financiamiento con colateral, créditos sindicados, créditos estructurados, créditos sintéticos, u otros que apruebe el Directorio.
t) Recibir fondos de instituciones gubernamentales para el fomento de flujo de capitales hacia el mercado de financiamiento para vivienda.
u) Vender carteras de crédito.
v) Efectuar operaciones con productos financieros derivados, tales como forwards, swaps, opciones en general, derivados crediticios u otros instrumentos o contratos de derivados, conforme a las normas que emita la SBS.
w) Realizar todas las operaciones en moneda nacional o extranjera.
x) Efectuar depósitos en moneda nacional o extranjera, en cualquier empresa o entidad del sistema financiero nacional, o del extranjero.
y) Promover la oferta de financiamiento para las inversiones en habilitación urbana, pudiendo a su vez financiar las mismas con sujeción a las normas vigentes sobre la materia y en marco de las políticas de acondicionamiento del territorio que desarrolla el Gobierno Nacional, preferentemente en las zonas donde no exista inversión privada.
z) Cualquier otra actividad conexa o complementaria que tienda al cumplimiento de su objeto social.",,,,2a4b3e85828985290ddc796f,fondo mivivienda s a fmv,Fondo MIVIVIENDA S.A. (FMV)
9,1200.0,1200.0,10033_empresa_nacional_de_puertos_s_a_enapu_s_a_rof.pdf,rofs_peru/pdfs/10033_empresa_nacional_de_puertos_s_a_enapu_s_a_rof.pdf,empresa_publica,Empresa Nacional de Puertos S.A.,,,,"a) La administración, operación, equipamiento y mantenimiento de terminales, muelles y otros similares, sean marítimos o fluviales.
b) Realizar actividades referidas al Negocio Portuario de tipo marítimo y fluvial, Terminal de Almacenamiento, depósito aduanero, estiba, desestiba, almacén general de depósito, transporte de carga o similares.",,,,5765cd702c012711dfec8aa3,empresa nacional de puertos s a,Empresa Nacional de Puertos S.A.
